AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
NACA 4415 Airfoil, Re=2.0 Million, Smooth roughness, Fourth column is the minimum pressure coefficient. 
"...Low Reynolds Number Airfoil Data...", S.J. Miley, 1982, Viterna used with aspect ratio=6.75, no 3D correction used
  1            Number of airfoil tables in this file
  2.0         Table ID parameter (Reynolds number in millions).  For efficiency, make very large if only one table.
  14          Stall angle (deg)
  0           Zero lift angle of attack (deg)
  0           Cn slope for zero lift (dimensionless)
  0           Cn at stall value for positive angle of attack
  0           Cn at stall value for negative angle of attack
  0           Angle of attack for minimum CD (deg)
  0           Minimum CD value
-180	0	0.01	-1.0000
-170	0.5518	0.01	-1.0000
-160	0.8524	0.1057	-1.0000
-150	0.7076	0.2726	-1.0000
-140	0.628	0.4777	-1.0000
-130	0.5448	0.6967	-1.0000
-120	0.4377	0.9036	-1.0000
-110	0.3049	1.0739	-1.0000
-100	0.1543	1.1877	-1.0000
-90	0	1.232	-1.0000
-80	-0.1543	1.1877	-1.0000
-70	-0.3049	1.0739	-1.0000
-60	-0.4377	0.9036	-1.0000
-50	-0.5448	0.6967	-1.0000
-40	-0.628	0.4777	-1.0000
-30	-0.7076	0.2726	-1.0000
-20	-0.8524	0.1057	-0.7230
-10	-0.399	0.0299	-4.3499
-6	-0.13	0.0091	-2.1964
-5.5	-0.085	0.0089	-1.9644
-5	-0.04	0.0087	-1.7324
-4.5	0.015	0.0085	-1.5003
-4	0.07	0.0083	-1.2683
-3.5	0.12	0.0082	-1.1379
-3	0.17	0.008	-1.0118
-2.5	0.225	0.0079	-0.8858
-2.1	0.28	0.0078	-0.7597
-1.5	0.335	0.0078	-0.7778
-1	0.39	0.0077	-0.8194
-0.5	0.44	0.0077	-0.8609
0	0.49	0.0077	-0.9025
0.5	0.545	0.0078	-0.9461
1	0.6	0.0078	-0.9905
1.5	0.65	0.0079	-1.0349
2	0.7	0.008	-1.0793
2.5	0.755	0.0081	-1.1434
3	0.81	0.0082	-1.2087
3.5	0.855	0.0084	-1.2740
4	0.9	0.0085	-1.3393
4.5	0.945	0.0087	-1.4233
5	0.99	0.0089	-1.5131
5.5	1.035	0.0092	-1.6030
6	1.08	0.0095	-1.6928
6.5	1.115	0.0099	-1.8302
7	1.15	0.0102	-1.9860
7.5	1.18	0.0107	-2.1418
8	1.21	0.0112	-2.2991
8.5	1.235	0.0119	-2.4705
9	1.26	0.0125	-2.6418
9.5	1.285	0.0133	-2.8131
10	1.31	0.014	-2.9844
10.5	1.33	0.0148	-3.1564
11	1.35	0.0156	-3.3288
11.5	1.37	0.0164	-3.5193
12	1.39	0.0172	-3.7098
12.5	1.41	0.0221	-3.8101
13	1.43	0.027	-3.9025
13.5	1.435	0.0319	-3.9764
14	1.44	0.0368	-4.0458
14.5	1.41	0.0417	-4.1111
15	1.38	0.0466	-4.1754
15.5	1.365	0.0515	-4.2248
16	1.35	0.0564	-4.2718
16.5	1.345	0.0613	-4.3609
17	1.34	0.0662	-4.4500
20	1.2177	0.1057	-4.8078
30	1.0109	0.2726	-0.8038
40	0.8972	0.4777	-1.0000
50	0.7783	0.6967	-1.0000
60	0.6253	0.9036	-1.0000
70	0.4356	1.0739	-1.0000
80	0.2204	1.1877	-1.0000
90	0	1.232	-1.0000
100	-0.1543	1.1877	-1.0000
110	-0.3049	1.0739	-1.0000
120	-0.4377	0.9036	-1.0000
130	-0.5448	0.6967	-1.0000
140	-0.628	0.4777	-1.0000
150	-0.7076	0.2726	-1.0000
160	-0.8524	0.1057	-1.0000
170	-0.5518	0.01	-1.0000
180	0	0.01	-1.0000
EOT
