AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
SERI 8PT Hydrofoil.  Clean surface data.  Calculated by XFOIL. 
Viterna Extended with AR=7, Fourth column is the minimum pressure coefficient.
  5           Number of airfoil tables in this file
0.5           Table ID parameter (Reynolds number in millions).
  19.5        Stall angle (deg)
  0           Zero lift angle of attack (deg)
  0           Cn slope for zero lift (dimensionless)
  0           Cn at stall value for positive angle of attack
  0           Cn at stall value for negative angle of attack
  0           Angle of attack for minimum CD (deg)
  0           Minimum CD value
-180	0.0000	0.0248	-1
-175	0.0551	0.0341	-1
-170	0.1102	0.0616	-1
-165	0.1653	0.1066	-1
-160	0.2203	0.1675	-1
-155	0.2754	0.2426	-1
-150	0.3305	0.3296	-1
-145	0.4206	0.4258	-1
-140	0.4832	0.5282	-1
-135	0.5204	0.6338	-1
-130	0.5338	0.7392	-1
-125	0.5247	0.8412	-1
-120	0.4946	0.9367	-1
-115	0.4454	1.0228	-1
-110	0.3792	1.0967	-1
-105	0.2987	1.1563	-1
-100	0.2066	1.1996	-1
-95	0.1060	1.2252	-1
-90	0.0000	1.2324	-1
-85	-0.1080	1.2209	-1
-80	-0.2149	1.1909	-1
-75	-0.3175	1.1434	-1
-70	-0.4129	1.0797	-1
-65	-0.4987	1.0018	-1
-60	-0.5727	0.9119	-1
-55	-0.6334	0.8127	-1
-50	-0.6799	0.7072	-1
-45	-0.7120	0.5986	-1
-40	-0.7305	0.4902	-1
-35	-0.7375	0.3851	-1
-30	-0.7368	0.2866	-1
-28	-0.7357	0.2497	-1
-26	-0.7351	0.2145	-1
-24	-0.7358	0.1812	-1
-22	-0.7388	0.1499	-1
-20	-0.7457	0.1208	-1
-18	-0.7586	0.0941	-1
-16	-0.7810	0.0719	-6.694
-15.5	-0.7879	0.0641	-6.662
-15	-0.7861	0.0578	-6.569
-14.5	-0.7790	0.0524	-6.391
-14	-0.7668	0.0480	-6.19
-13.5	-0.7514	0.0444	-5.963
-13	-0.7386	0.0409	-5.724
-12.5	-0.7276	0.0373	-5.445
-12	-0.7201	0.0341	-5.288
-11.5	-0.7278	0.0310	-5.12
-11	-0.7592	0.0306	-5.153
-10.5	-0.7079	0.0272	-4.75
-10	-0.6556	0.0235	-4.358
-9.5	-0.6107	0.0205	-4.004
-9	-0.5823	0.0187	-3.676
-8.5	-0.5753	0.0168	-3.453
-8	-0.5492	0.0157	-3.146
-7	-0.4744	0.0137	-2.5
-6.5	-0.4554	0.0107	-2.276
-6	-0.4073	0.0100	-1.945
-5.5	-0.3529	0.0098	-1.619
-5	-0.2974	0.0096	-1.311
-4.5	-0.2415	0.0095	-1.069
-4	-0.1853	0.0094	-0.931
-3.5	-0.1291	0.0093	-0.881
-3	-0.0724	0.0092	-0.832
-2.5	-0.0157	0.0091	-0.784
-2	0.0411	0.0090	-0.738
-1.5	0.0981	0.0089	-0.691
-1	0.1550	0.0089	-0.67
-0.5	0.2119	0.0088	-0.714
0	0.2689	0.0089	-0.76
0.5	0.3254	0.0088	-0.805
1	0.3818	0.0089	-0.851
1.5	0.4381	0.0089	-0.9
2	0.4938	0.0090	-0.949
2.5	0.5491	0.0091	-0.999
3	0.6038	0.0092	-1.05
3.5	0.6579	0.0093	-1.101
4	0.7111	0.0095	-1.156
4.5	0.7630	0.0097	-1.215
5	0.8128	0.0100	-1.383
5.5	0.8605	0.0103	-1.568
6	0.9073	0.0107	-1.756
6.5	0.9522	0.0112	-1.961
7	0.9950	0.0117	-2.167
7.5	1.0342	0.0122	-2.376
8.5	1.0917	0.0138	-2.787
9.5	1.0781	0.0191	-3.034
10	1.0889	0.0210	-3.224
10.5	1.1080	0.0234	-3.471
11	1.1268	0.0259	-3.734
11.5	1.1417	0.0289	-4.008
12	1.1597	0.0317	-4.266
12.5	1.1724	0.0352	-4.539
13	1.1822	0.0390	-4.792
13.5	1.1979	0.0426	-5.065
14	1.2035	0.0474	-5.299
14.5	1.2194	0.0513	-5.582
15	1.2280	0.0562	-5.867
15.5	1.2353	0.0614	-6.126
16	1.2451	0.0666	-6.417
16.5	1.2476	0.0726	-6.632
17	1.2564	0.0783	-6.88
17.5	1.2624	0.0845	-7.138
18	1.2646	0.0911	-7.366
18.5	1.2683	0.0979	-7.591
19	1.2713	0.1049	-7.829
19.5	1.2717	0.1121	-8.043
20	1.2714	0.1198	-8.202
21	1.2199	0.1333	-1
22	1.1901	0.1481	-1
24	1.1393	0.1794	-1
26	1.0975	0.2128	-1
28	1.0623	0.2480	-1
30	1.0317	0.2849	-1
35	0.9675	0.3835	-1
40	0.9100	0.4887	-1
45	0.8510	0.5973	-1
50	0.7859	0.7060	-1
55	0.7124	0.8116	-1
60	0.6295	0.9109	-1
65	0.5375	1.0010	-1
70	0.4374	1.0791	-1
75	0.3311	1.1429	-1
80	0.2209	1.1906	-1
85	0.1095	1.2207	-1
90	0.0000	1.2324	-1
95	-0.1045	1.2254	-1
100	-0.2006	1.1999	-1
105	-0.2851	1.1568	-1
110	-0.3547	1.0974	-1
115	-0.4066	1.0236	-1
120	-0.4378	0.9377	-1
125	-0.4457	0.8423	-1
130	-0.4277	0.7404	-1
135	-0.3814	0.6351	-1
140	-0.3037	0.5297	-1
145	-0.2657	0.4274	-1
150	-0.2278	0.3313	-1
155	-0.1898	0.2444	-1
160	-0.1518	0.1693	-1
165	-0.1139	0.1084	-1
170	-0.0759	0.0635	-1
175	-0.0380	0.0360	-1
180	0.0000	0.0268	-1
EOT 1
1.0           Table ID parameter (Reynolds number in millions).
  19          Stall angle (deg)
  0           Zero lift angle of attack (deg)
  0           Cn slope for zero lift (dimensionless)
  0           Cn at stall value for positive angle of attack
  0           Cn at stall value for negative angle of attack
  0           Angle of attack for minimum CD (deg)
  0           Minimum CD value
-180	0.0000	0.0367	-1
-175	0.0403	0.0459	-1
-170	0.0806	0.0733	-1
-165	0.1209	0.1180	-1
-160	0.1612	0.1786	-1
-155	0.2015	0.2534	-1
-150	0.2417	0.3399	-1
-145	0.3514	0.4355	-1
-140	0.4292	0.5373	-1
-135	0.4786	0.6421	-1
-130	0.5019	0.7468	-1
-125	0.5009	0.8480	-1
-120	0.4775	0.9426	-1
-115	0.4337	1.0278	-1
-110	0.3719	1.1008	-1
-105	0.2946	1.1593	-1
-100	0.2048	1.2016	-1
-95	0.1055	1.2262	-1
-90	0.0000	1.2324	-1
-85	-0.1085	1.2198	-1
-80	-0.2167	1.1889	-1
-75	-0.3216	1.1403	-1
-70	-0.4203	1.0757	-1
-65	-0.5104	0.9968	-1
-60	-0.5898	0.9060	-1
-55	-0.6572	0.8059	-1
-50	-0.7118	0.6996	-1
-45	-0.7538	0.5903	-1
-40	-0.7845	0.4811	-1
-35	-0.8067	0.3754	-1
-30	-0.8255	0.2763	-1
-28	-0.8340	0.2392	-1
-26	-0.8442	0.2039	-1
-24	-0.8572	0.1704	-1
-22	-0.8746	0.1389	-1
-20	-0.8985	0.1097	-1
-19	-0.9175	0.0981	-9.466
-18.5	-0.9237	0.0904	-9.307
-18	-0.9318	0.0828	-9.277
-17.5	-0.9288	0.0769	-9.072
-17	-0.9308	0.0707	-8.941
