AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
NACA 4416 Airfoil, Re=2.0 Million, Smooth roughness, Fourth column is the minimum pressure coefficient. 
"...Low Reynolds Number Airfoil Data...", S.J. Miley, 1982, Viterna used with aspect ratio=6.75, no 3D correction used
  1            Number of airfoil tables in this file
  2.0         Table ID parameter (Reynolds number in millions).  For efficiency, make very large if only one table.
  13.5        Stall angle (deg)
  0           Zero lift angle of attack (deg)
  0           Cn slope for zero lift (dimensionless)
  0           Cn at stall value for positive angle of attack
  0           Cn at stall value for negative angle of attack
  0           Angle of attack for minimum CD (deg)
  0           Minimum CD value
-180	0	0.01	-1.0000
-170	0.5581	0.01	-1.0000
-160	0.8613	0.1074	-1.0000
-150	0.7128	0.2742	-1.0000
-140	0.6312	0.4791	-1.0000
-130	0.5467	0.6978	-1.0000
-120	0.4387	0.9045	-1.0000
-110	0.3053	1.0745	-1.0000
-100	0.1544	1.1881	-1.0000
-90	0	1.232	-1.0000
-80	-0.1544	1.1881	-1.0000
-70	-0.3053	1.0745	-1.0000
-60	-0.4387	0.9045	-1.0000
-50	-0.5467	0.6978	-1.0000
-40	-0.6312	0.4791	-1.0000
-30	-0.7128	0.2742	-1.0000
-20	-0.8613	0.1074	-1.0000
-10	-0.4137	0.0304	-1.0000
-6	-0.1541	0.0089	-1.0000
-5.5	-0.1073	0.0087	-1.0000
-5	-0.0606	0.0086	-1.8130
-4.5	-0.0073	0.0084	-1.6255
-4	0.0459	0.0083	-1.4380
-3.5	0.0968	0.0081	-1.2503
-3	0.1477	0.008	-1.0625
-2.5	0.2018	0.0079	-0.9113
-2	0.2559	0.0078	-0.7600
-1.5	0.3084	0.0077	-0.7863
-1	0.3608	0.0077	-0.8125
-0.5	0.4099	0.0077	-0.8750
0	0.4591	0.0076	-0.9375
0.5	0.5115	0.0077	-1.0188
1	0.5639	0.0077	-1.1000
1.5	0.613	0.0078	-1.1375
2	0.6622	0.0078	-1.1750
2.5	0.7146	0.0079	-1.2438
3	0.767	0.008	-1.3125
3.5	0.8129	0.0082	-1.4063
4	0.8588	0.0083	-1.5000
4.5	0.905	0.0085	-1.6000
5	0.9513	0.0087	-1.7000
5.5	0.9976	0.009	-1.8625
6	1.0439	0.0093	-2.0250
6.5	1.0828	0.0096	-2.2125
7	1.1216	0.0099	-2.4000
7.5	1.1572	0.0103	-2.6500
8	1.1928	0.0108	-2.9000
8.5	1.2213	0.0115	-3.1750
9	1.2497	0.0122	-3.4500
9.5	1.2781	0.013	-3.7563
10	1.3066	0.0138	-4.0625
10.5	1.3283	0.0149	-1.0000
11	1.35	0.016	-1.0000
11.5	1.3717	0.0171	-1.0000
12	1.3934	0.0182	-1.0000
12.5	1.4083	0.0192	-1.0000
13	1.4231	0.0203	-1.0000
13.5	1.4281	0.0241	-1.0000
14	1.4331	0.0279	-1.0000
14.5	1.4117	0.0316	-1.0000
15	1.3903	0.0389	-1.0000
15.5	1.3788	0.0462	-1.0000
16	1.3672	0.0534	-1.0000
16.5	1.3613	0.0607	-1.0000
17	1.3555	0.0679	-1.0000
20	1.2304	0.1074	-1.0000
30	1.0183	0.2742	-1.0000
40	0.9017	0.4791	-1.0000
50	0.781	0.6978	-1.0000
60	0.6268	0.9045	-1.0000
70	0.4362	1.0745	-1.0000
80	0.2206	1.1881	-1.0000
90	0	1.232	-1.0000
100	-0.1544	1.1881	-1.0000
110	-0.3053	1.0745	-1.0000
120	-0.4387	0.9045	-1.0000
130	-0.5467	0.6978	-1.0000
140	-0.6312	0.4791	-1.0000
150	-0.7128	0.2742	-1.0000
160	-0.8613	0.1074	-1.0000
170	-0.5581	0.01	-1.0000
180	0	0.01	-1.0000
EOT
