AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
RISO-A1-24, Re=1.6 Million, Smooth roughness 
Viterna Extended w/ AR=6.75, Fourth column is the minimum pressure coefficient.
  1           Number of airfoil tables in this file
  1.6         Table ID parameter (Reynolds number in millions).  For efficiency, make very large if only one table.
  9.6         Stall angle (deg)
  0           Zero lift angle of attack (deg)
  0           Cn slope for zero lift (dimensionless)
  0           Cn at stall value for positive angle of attack
  0           Cn at stall value for negative angle of attack
  0           Angle of attack for minimum CD (deg)
  0           Minimum CD value
-180	0	0.1094	-1
-170	0.1288	0.1459	-1
-160	0.2576	0.2508	-1
-150	0.3864	0.411	-1
-140	0.4636	0.6065	-1
-130	0.4523	0.8127	-1
-120	0.3921	1.0035	-1
-110	0.2883	1.1545	-1
-100	0.1524	1.2459	-1
-90	0	1.265	-1
-80	-0.1524	1.2459	-1
-70	-0.2883	1.1545	-1
-60	-0.3921	1.0035	-1
-50	-0.4523	0.8127	-1
-40	-0.4636	0.6065	-1
-30	-0.4122	0.4257	-1
-20	-0.3345	0.265	-1
-10	-0.2568	0.1043	-1
-5.1	-0.312	0.0249	-1
-3.5	-0.044	0.0126	-1
-1.3	0.247	0.0109	-1
0.4	0.466	0.0098	-1.1697
1.7	0.632	0.0103	-1.3963
2.6	0.724	0.0102	-1.5531
3.3	0.816	0.0098	-1.6751
4	0.882	0.0101	-1.7971
4.4	0.942	0.0107	-1.8669
4.8	0.979	0.0111	-1.9366
5.4	1.029	0.0115	-2.0411
6	1.084	0.012	-2.0507
7.6	1.233	0.0146	-2.1967
8.8	1.319	0.0194	-2.3061
9.6	1.373	0.024	-2.7349
10.4	1.365	0.0279	-3.1504
11.5	1.258	0.0705	-3.0933
13.5	1.076	0.0993	-2.9867
15.4	0.998	0.1277	-2.7898
17.5	0.988	0.1544	-3.1763
19.3	1.022	0.1813	-3.5076
20.9	1.029	0.1986	-1
22.8	0.983	0.2168	-1
24.7	0.995	0.2503	-1
27	0.947	0.2836	-1
29.9	0.849	0.3679	-1
33.7	0.656	0.4837	-1
35.1	0.645	0.5068	-1
40	0.6622	0.6065	-1
50	0.6461	0.8127	-1
60	0.5602	1.0035	-1
70	0.4119	1.1545	-1
80	0.2176	1.2459	-1
90	0	1.265	-1
100	-0.1524	1.2459	-1
110	-0.2883	1.1545	-1
120	-0.3921	1.0035	-1
130	-0.4523	0.8127	-1
140	-0.4636	0.6065	-1
150	-0.3864	0.411	-1
160	-0.2576	0.2508	-1
170	-0.1288	0.1459	-1
180	0	0.1094	-1
EOT
